celltype,tf,pval,pval_adj,mean_difference
cMono,ALX1,6.411294985155933e-38,8.709220866315138e-38,-0.00013232990667054554
cMono,ALX3,0.3080985304991247,0.3148991698479538,0.0003990899540482096
cMono,ALX4,0.16538473702800516,0.1708387438747095,0.00041339438848561616
cMono,ANHX,5.501031698526407e-76,9.929828404967159e-76,-0.00043518702343813866
cMono,AR,1.1144553122121622e-96,2.6316960255120906e-96,-0.0011932140905504672
cMono,ARGFX,1.5125487482935412e-29,1.9501990519765393e-29,-0.0004942630506403027
cMono,ARID3A,1.12086510273108e-115,3.7420731486163014e-115,-0.0004961046246223537
cMono,ARID3B,1.499048752195099e-07,1.663007209466438e-07,3.9852914484137664e-05
cMono,ARID5A,1.0891546057945876e-161,9.205949644216157e-161,0.0012965565989538595
cMono,ARID5B,5.694077098595162e-93,1.2660108789152083e-92,-0.0002945420949921544
cMono,ARNT,2.845953916304746e-101,7.268443455310682e-101,-0.0009817777783196896
cMono,ARNT2,3.436412320171224e-55,5.213360571199934e-55,0.00021790841070992717
cMono,ARNTL,2.162815817633116e-38,2.941760978006728e-38,2.511498134889767e-05
cMono,ARX,1.5324630353117647e-08,1.7197820153920228e-08,-6.500548873886874e-05
cMono,ASCL1,1.304416020765057e-175,1.4321681052729752e-174,-0.0017723231263793299
cMono,ASCL2,7.29646465945751e-89,1.5448777062270872e-88,-0.0014232856834661134
cMono,ATF1,6.922669711156991e-52,1.0183208898317949e-51,-3.0675435617919314e-05
cMono,ATF2,6.004149508282954e-63,9.703215821428446e-63,0.0002753583165844842
cMono,ATF3,3.2096556985025547e-29,4.1283614962623444e-29,-0.00011887521331577222
cMono,ATF4,1.360388498331373e-195,2.299704366226845e-194,-0.0030793771474299514
cMono,ATF6,1.0421603721591742e-07,1.1634180255236063e-07,-0.00025091261424103894
cMono,ATF6B,0.7011444784978244,0.7084619256168718,-0.0004939941168057849
cMono,ATF7,5.235750555492788e-37,7.076236474111446e-37,-6.092280639408143e-05
cMono,ATOH1,1.1648099172885188e-119,4.205161226821263e-119,-0.0008877076451064558
cMono,ATOH7,1.7457435747195274e-38,2.3781298803413464e-38,0.00022528724834070934
cMono,BACH1,1.5638469750670788e-18,1.8969214446998165e-18,-6.68415199161082e-05
cMono,BACH2,1.127505913239519e-177,1.3052106495653127e-176,0.016381555633550593
cMono,BARHL1,4.657340591072448e-61,7.40308616342113e-61,-0.0004882924595742931
cMono,BARHL2,4.0445216801980245e-110,1.2236976106280956e-109,-0.0007798418324443442
cMono,BARX1,1.586465775885334e-153,1.2155295333222163e-152,0.0007220182590680678
cMono,BARX2,2.3949283674167937e-42,3.334115962482203e-42,0.00035716744914490034
cMono,BATF,3.630154374178128e-203,7.029298924544919e-202,0.004731229997114547
cMono,BATF3,4.0412984688411464e-234,1.388381570747039e-232,-0.0032964806026784532
cMono,BBX,2.3364105227878027e-78,4.30497786638237e-78,-0.0012553800812542537
cMono,BCL11A,3.5620691446651756e-35,4.7598540013405423e-35,-0.007656260958718741
cMono,BCL11B,1.4210583494589763e-84,2.844787861228966e-84,0.0007449048124146193
cMono,BCL6,5.531652507712292e-05,5.980923777374204e-05,5.480859834128965e-05
cMono,BCL6B,2.701027698052958e-64,4.432348996034515e-64,0.0014301944168736633
cMono,BHLHA15,3.58010162280454e-124,1.4174008283594182e-123,-0.0010779418747717193
cMono,BHLHE22,4.058472662884819e-74,7.239988921226686e-74,0.0003057786588038084
cMono,BHLHE23,1.61800988401042e-64,2.6592292075171255e-64,-0.00011114364122143984
cMono,BHLHE40,7.00720097281209e-63,1.1307074297037692e-62,-0.0006114259824775564
cMono,BHLHE41,5.831998656947146e-23,7.205427574998505e-23,-0.00018888446894049782
cMono,BORCS8-MEF2B,1.428852829845282e-28,1.8202491193603172e-28,-0.0005787156013303987
cMono,BSX,3.796451657846461e-107,1.0868873697866884e-106,-0.0007791630221920046
cMono,CDC5L,2.4500404922350852e-80,4.642870327812039e-80,-0.000837496372008592
cMono,CDX1,2.215522604289069e-213,5.243403496817463e-212,0.0007920364032769833
cMono,CDX2,4.060373674216732e-58,6.2853168067453774e-58,-0.0001981175792882331
cMono,CDX4,7.251283637219115e-28,9.19359175433138e-28,0.0003743226309529373
cMono,CEBPA,3.2970925896955582e-143,1.983843846342243e-142,0.024465469066961898
cMono,CEBPB,2.5793784437220913e-144,1.5971151410255973e-143,0.02556007098629892
cMono,CEBPD,7.19048573910053e-138,3.867609753607103e-137,0.023272032288309763
cMono,CEBPE,7.076685692617572e-138,3.825720945501378e-137,0.010249569900680322
cMono,CEBPG,1.7113743563548383e-140,9.746597270149214e-140,0.01775669279132497
cMono,CENPB,1.4874978618535575e-97,3.551984804650311e-97,-0.001357922606643698
cMono,CENPBD1,8.149616188874392e-105,2.2254721131156994e-104,-0.00030169980760182125
cMono,CIC,9.582260009384243e-212,2.0826748795906566e-210,0.0011687750647288407
cMono,CLOCK,2.1767702930494612e-28,2.7631231967791134e-28,-1.1333381771082285e-05
cMono,CPEB1,4.431818091574375e-143,2.6516214986105108e-142,-0.0014194623418512103
cMono,CREB1,2.2321409852467987e-30,2.892007480885451e-30,-0.001031326552693279
cMono,CREB3,5.0831524935913535e-39,6.994260214050119e-39,-0.001225212530705705
cMono,CREB3L1,1.3634558782826328e-66,2.2831454565581823e-66,-0.0007712689614650103
cMono,CREB3L2,2.556980001791843e-20,3.119339864728881e-20,-0.00032164490988905586
cMono,CREB3L4,2.8356583639241893e-12,3.3005203907970074e-12,-0.0011017418137393986
cMono,CREB5,4.6737770259886955e-120,1.7046481276294386e-119,0.0009390747444912584
cMono,CREBL2,5.715428935566336e-103,1.5179381088224807e-102,0.003300527829742772
cMono,CREBZF,6.882840922904647e-79,1.2770427844762108e-78,-0.0010209357136519645
cMono,CREM,2.771821850443104e-22,3.4127055152854403e-22,1.4479036013287372e-05
cMono,CRX,1.3306951636747593e-38,1.8215814258529805e-38,-0.000264478499638612
cMono,CTCF,2.0032000690215495e-09,2.2695830569233513e-09,-0.0003304963688900153
cMono,CTCFL,4.270914028520641e-10,4.869939443655763e-10,-0.000340895385056994
cMono,CUX1,2.0702105599048555e-80,3.9370968683904836e-80,-0.0002835301838790497
cMono,CUX2,1.114707812483174e-97,2.667783865830518e-97,-0.0006992699778264558
cMono,CXXC1,4.416138131626434e-81,8.47421100933721e-81,-0.000520901405503052
cMono,CXXC5,3.9781403144511853e-112,1.24243971697669e-111,-0.0005911538402908895
cMono,DBP,4.162333662781529e-121,1.549959912888926e-120,0.013286919936756736
cMono,DBX1,0.07445162454213755,0.0775082894793514,0.0002988627323578033
cMono,DBX2,8.702337030872178e-99,2.1111592113619294e-98,-0.00028411935361861637
cMono,DLX1,0.0028967453805807957,0.0030850338303185475,0.00013448299184075433
cMono,DLX2,0.0048206352179479975,0.005108434335437431,0.00012459968188599773
cMono,DLX3,7.090694556055626e-05,7.658813085394769e-05,0.0003437940208378277
cMono,DLX4,5.723672567201062e-106,1.5957359382379924e-105,0.0009320036263018115
cMono,DLX5,5.223166762391156e-66,8.691675940541533e-66,0.0006241438572492574
cMono,DLX6,0.13854343829610852,0.14339043905282367,0.00023083613603335894
cMono,DMBX1,3.232911166068124e-128,1.3939475270698592e-127,0.00030642484620927064
cMono,DMRT1,1.6636753393493453e-132,7.637130329340745e-132,-0.0005275881726540428
cMono,DMRT2,0.5716875670175297,0.5798545322606372,0.0001619565248355461
cMono,DMRT3,5.121180670232824e-81,9.809455780212153e-81,-0.0005955960759561497
cMono,DMRTA1,5.412847713867628e-209,1.1529365630538047e-207,0.0006060557046048848
cMono,DMRTA2,1.0894369293210089e-123,4.250001207790749e-123,-0.0009798206695616225
cMono,DMRTC2,5.034425926612516e-88,1.0513065905573195e-87,-0.0006517847387219654
cMono,DNMT1,1.228042822387999e-100,3.0845886930264594e-100,-0.0005717809854776726
cMono,DPF1,4.6416563218601605e-97,1.1009719338042474e-96,-0.0012375802743306574
cMono,DPRX,9.610074901995124e-09,1.0818953245903601e-08,0.00025823216774049527
cMono,DRGX,1.0645527603088178e-07,1.1871714028574775e-07,0.000557009742617414
cMono,DUX4,6.675612404999897e-11,7.694293518749882e-11,1.121134615117425e-06
cMono,DUXA,3.1537127522787587e-118,1.1084831951078805e-117,-0.00047186795709366295
cMono,E2F1,5.197820433445491e-136,2.6742409476422453e-135,-0.001750918181179055
cMono,E2F2,1.728016004511954e-112,5.477193585729853e-112,-0.0008335652860976053
cMono,E2F3,2.473686544522837e-94,5.641276595110966e-94,-0.0007674546449452785
cMono,E2F4,6.686360277921386e-162,5.789409508931932e-161,-0.0009587458881576624
cMono,E2F5,7.53359944226488e-151,5.384753963766509e-150,-0.0009342850510017583
cMono,E2F6,6.16595736010274e-84,1.2183199607624153e-83,-0.000635122925937287
cMono,E2F7,1.6742144080532718e-153,1.2735988175548102e-152,-0.0006506379856114613
cMono,E2F8,1.3946077218161812e-144,8.736807198436664e-144,-0.0011690321178809346
cMono,EBF1,3.611403497285628e-18,4.365658030203398e-18,0.0014516835247103807
cMono,EBF2,1.3973865160130895e-38,1.9104193062309887e-38,0.0017524368855002075
cMono,EGR1,1.0950915051681784e-119,3.966913105456156e-119,-0.002365069165009885
cMono,EGR2,1.1806493571187735e-106,3.3352561414628485e-106,-0.0016482969814793644
cMono,EGR3,4.090123390614678e-105,1.125576591990861e-104,-0.0015293799990420496
cMono,EGR4,1.0355159552990032e-124,4.161601858088447e-124,-0.002203873757206362
cMono,EHF,1.0139149682530266e-170,1.018697586027805e-169,-0.0036251909100245144
cMono,ELF1,3.4224452862912e-153,2.5668339647184e-152,-0.005280330269397865
cMono,ELF2,4.741425929609573e-238,1.8702291166793316e-236,-0.0050180581928192525
cMono,ELF3,4.4186197334789835e-243,2.046013050502225e-241,-0.00492032884975499
cMono,ELF4,2.0323085813322438e-195,3.381888498623187e-194,-0.005125532354811807
cMono,ELF5,7.640980483605998e-200,1.3340400352525225e-198,-0.003843235993870875
cMono,ELK1,1.60083229124336e-114,5.2297128532950254e-114,-0.006572985478027288
cMono,ELK3,3.4858278794940846e-134,1.6874575871187271e-133,-0.0060118010604393035
cMono,ELK4,8.933573296399712e-117,3.0691146969889333e-116,-0.0052275778083269026
cMono,EMX1,6.551294814915622e-14,7.718063028634002e-14,0.0006520586664778266
cMono,EMX2,0.2893568274770536,0.296312520445252,0.00038154657468008647
cMono,EN1,7.43436996841266e-23,9.174512185816318e-23,0.000626921122638905
cMono,EN2,0.11788976116819637,0.12213287514020343,0.0005781810046663061
cMono,EOMES,1.938043287592248e-46,2.7337961606433694e-46,-0.0014430388050478693
cMono,ERF,6.153474603920875e-115,2.028932028846976e-114,-0.005248161298553766
cMono,ERG,1.7125030846944513e-112,5.44422622447639e-112,-0.0007437296131551502
cMono,ESR1,1.5543638034612681e-139,8.667002359613877e-139,0.0017794174901826429
cMono,ESR2,1.5585231206984281e-164,1.418655661148569e-163,0.0024305411762629743
cMono,ESRRA,8.715638371806381e-199,1.4971217525764186e-197,0.002219330528318816
cMono,ESRRB,1.763416698622113e-151,1.2863279342688702e-150,0.001910000083207554
cMono,ESRRG,3.153184637975349e-135,1.5765923189876745e-134,0.0038358201340726594
cMono,ESX1,9.36740557733878e-08,1.046829689387807e-07,-1.868884503478628e-05
cMono,ETS1,1.16053143816944e-66,1.946403120709376e-66,-0.0011088052917970215
cMono,ETS2,2.4613607262085195e-111,7.576153680381715e-111,-0.009957768643589868
cMono,ETV1,1.7075122634860676e-127,7.159451026034103e-127,-0.0033759026407448114
cMono,ETV2,7.876392768132923e-126,3.226291653100601e-125,-0.005136603874758318
cMono,ETV3,6.61521068714657e-114,2.1413979883924306e-113,-0.0044216029604996
cMono,ETV3L,1.5102843639407605e-202,2.8218471010472107e-201,-0.0013819542559885822
cMono,ETV4,8.109736816323705e-125,3.2839808780930593e-124,-0.0038790563175746945
cMono,ETV5,2.7329686940211215e-135,1.372930027892686e-134,-0.0038126117828531716
cMono,ETV6,2.0368701118190774e-97,4.852945568428003e-97,-0.0061691783174966375
cMono,ETV7,7.676743362234681e-149,5.240853641525599e-148,-0.0034106732527646455
cMono,EVX1,1.0026643227553568e-94,2.3013739304621874e-94,0.0009515068680251079
cMono,EVX2,1.6711764535553946e-43,2.344931387399862e-43,0.0007031811260664357
cMono,FBXL19,8.729617250316215e-86,1.781042599920837e-85,-0.0005183789433964841
cMono,FERD3L,3.6168641936340465e-15,4.2942701964551386e-15,0.0002667405483481357
cMono,FEV,2.01143442400934e-117,6.977777399250641e-117,-0.006099819041029027
cMono,FEZF1,1.7206084600724237e-100,4.291447330157216e-100,-0.00037781868054589593
cMono,FIGLA,8.106224072460837e-50,1.1745753247851418e-49,-0.003178111593626215
cMono,FLI1,5.16442654466924e-56,7.879819871164385e-56,0.0025625501445976917
cMono,FOS,5.940392931948197e-186,8.008251231044089e-185,0.01850889684456619
cMono,FOSB,8.363997402838771e-15,9.875451478961521e-15,-0.0009078163802204164
cMono,FOSL1,7.658932836465091e-190,1.1328838153937948e-188,0.019677549788124304
cMono,FOSL2,8.56146547857301e-188,1.1841507447636695e-186,0.01866418283860022
cMono,FOXA1,2.3503028181007236e-91,5.087545734303396e-91,-0.001131297145674004
cMono,FOXA2,1.0912068698849685e-48,1.568333760360987e-48,-0.00020142711180527652
cMono,FOXA3,2.9378080341086926e-108,8.595509770125707e-108,-0.001137998388754326
cMono,FOXB1,0.9237228585008465,0.9254608130793993,0.00038666254251178145
cMono,FOXB2,1.5430195565288522e-118,5.496039557535879e-118,-0.0006187960191502222
cMono,FOXC1,1.833399010281816e-73,3.238092779353456e-73,-0.00021993155558976824
cMono,FOXC2,2.3313180550682455e-66,3.891620264338058e-66,-0.00020937701171942888
cMono,FOXD1,1.6557255331094863e-88,3.491777609428916e-88,-0.0014347935591398422
cMono,FOXD2,1.4357316342293539e-69,2.4702006307823294e-69,-0.00024145719473692845
cMono,FOXD3,1.4587951983081408e-37,1.9766118145014886e-37,-0.0004558867094908402
cMono,FOXE1,3.2509774256638384e-106,9.111291995610494e-106,-0.0014404364961905069
cMono,FOXF2,5.15047546199621e-79,9.589609033262174e-79,-0.0019647313882588356
cMono,FOXG1,3.333544410979789e-92,7.335175201846024e-92,-0.0016566739657313118
cMono,FOXH1,1.7707566225776407e-289,1.4506583100347594e-287,0.0009342569302115498
cMono,FOXI1,4.7901816733111176e-92,1.0518646354796577e-91,-0.00115578232838107
cMono,FOXJ1,4.5218827867763034e-105,1.2411868989476194e-104,-0.0015215236101695333
cMono,FOXJ2,4.1564644308290277e-101,1.0564760426808865e-100,-0.0025314582888352963
cMono,FOXJ3,2.1558631443757565e-66,3.604386575761665e-66,-0.0010894170414081205
cMono,FOXK1,1.4621551663770488e-88,3.0896731194276923e-88,-0.0015917275943888275
cMono,FOXK2,2.147940326041081e-133,1.0212305568007819e-132,-0.00212985776896768
cMono,FOXL1,5.308283267697627e-93,1.1827032803552244e-92,-0.000773612205591738
cMono,FOXL2,9.665312927214376e-112,3.001037395767729e-111,-0.000966199594385847
cMono,FOXM1,3.772721798228099e-144,2.3225137081577604e-143,-0.000502715714333142
cMono,FOXN1,4.1446609244512245e-102,1.071374729257416e-101,-0.0003503267313404168
cMono,FOXN2,1.3305210818640913e-118,4.771060445068206e-118,-0.0009472744942675346
cMono,FOXN3,5.630979102430635e-100,1.3881927648353302e-99,-0.0018737882865430995
cMono,FOXN4,1.1067828396210978e-67,1.8709900384070938e-67,-0.0004613515847121559
cMono,FOXO1,5.2582827748560626e-98,1.2641244142712655e-97,-0.001192471238647002
cMono,FOXO3,9.792200991034964e-35,1.3019593077967837e-34,-0.0005686605981811768
cMono,FOXO4,7.286499861699659e-87,1.5068198743126478e-86,-0.0009117341423011197
cMono,FOXO6,2.7002498988824987e-80,5.107932757211121e-80,-0.0017058801095747554
cMono,FOXP1,3.8838868450338075e-116,1.3131236476066682e-115,-0.0022050886186754035
cMono,FOXP2,1.3720936611390751e-123,5.3331377704858204e-123,-0.0018153352864969594
cMono,FOXP3,5.449417246004707e-280,4.145449547853581e-278,0.0007879581488608178
cMono,FOXQ1,1.2563600723492723e-145,8.012116629053742e-145,-0.0014649577202274612
cMono,FOXR1,8.32896990639148e-93,1.8441482225170327e-92,-0.00040366484128730087
cMono,FOXR2,4.5736962615572123e-113,1.458379197173183e-112,-0.0017357709207599104
cMono,FOXS1,7.183068052803931e-128,3.0599869904944748e-127,-0.0011762538888584334
cMono,GABPA,4.89611458892806e-123,1.8892616076841972e-122,-0.0058491124469166045
cMono,GATA1,3.2963473599221754e-68,5.599058912786471e-68,-0.0009274360690851198
cMono,GATA2,1.1319819843941759e-73,2.0059248142758692e-73,-0.0010985967476195152
cMono,GATA3,4.570646793193713e-77,8.33516923758785e-77,-0.0014163379521705752
cMono,GATA4,1.6131818319277392e-84,3.2173008445749853e-84,-0.0011340719413526802
cMono,GATA5,7.841373508375554e-95,1.8036852670453487e-94,-0.0012143559783040804
cMono,GATA6,1.2040518939891327e-109,3.6121556819673984e-109,-0.0023613082232803867
cMono,GBX1,0.03359177960571015,0.03517723233046344,0.00043956799296937174
cMono,GBX2,4.2897677191507513e-05,4.647612025326094e-05,0.0005849029931825414
cMono,GCM1,9.614721637569698e-38,1.3044176489186916e-37,-0.00027665978768283113
cMono,GCM2,2.0032862552662595e-109,5.976190089239682e-109,-0.001672840634136398
cMono,GFI1,1.7883783266721484e-26,2.2433721058961578e-26,2.5793020257316307e-06
cMono,GFI1B,3.8232542627624104e-18,4.616514500954611e-18,0.00013496687202599854
cMono,GLI1,6.225639734228298e-128,2.6627736212663203e-127,0.0007690066795970774
cMono,GLI2,1.956136832187336e-18,2.3700633973600826e-18,-0.00012508907390441568
cMono,GLI3,1.4023923240546988e-21,1.718697152034815e-21,-0.0001995545162096421
cMono,GLI4,0.011600161920713703,0.012256123457896919,0.00023874888373973113
cMono,GLIS1,1.6061194820084114e-17,1.932787851230461e-17,9.818942734547698e-05
cMono,GLIS2,3.068214770646779e-94,6.98215540756158e-94,-0.0018730966829523035
cMono,GLIS3,2.5408511339229895e-88,5.3372908434477e-88,-0.0016347457059867204
cMono,GMEB1,7.10994686515984e-116,2.3811614501242864e-115,-0.0006920538328140588
cMono,GMEB2,5.569293211879071e-82,1.0803820165120603e-81,-0.003628762094345289
cMono,GRHL1,1.381424306559878e-93,3.0972987083921476e-93,-0.0008938351901335794
cMono,GRHL2,0.00037416586526279824,0.00040210559687677103,1.3992149960518827e-05
cMono,GSC,9.008830590160732e-160,7.495628576969671e-159,0.0004165215120999696
cMono,GSC2,2.6027366893950042e-145,1.6401861385832424e-144,0.0007067481700472542
cMono,GSX1,0.0005521917124703562,0.0005916339776468102,7.280467997418383e-05
cMono,GSX2,0.33958145290630604,0.3464121143153409,0.0003427464422673318
cMono,GTF3A,1.899211306808917e-174,2.002633704704452e-173,0.0009309477717336138
cMono,HAND2,2.6784805387074892e-53,3.995212568240163e-53,-0.004773650838836074
cMono,HBP1,9.488293659070607e-102,2.4349476498578784e-101,-0.0005598777524326356
cMono,HDX,2.0242872211856116e-10,2.3156454248793515e-10,-7.565285209761366e-06
cMono,HES1,3.204022629939075e-129,1.38710735808338e-128,-0.0006145237127463052
cMono,HES2,4.8397797963853863e-79,9.026909777846649e-79,-0.0004480939211907453
cMono,HES4,8.541679671259084e-28,1.0803905997495159e-27,-0.00022785993328906448
cMono,HES5,8.283313632149037e-101,2.0855151343353955e-100,-0.0010858692961835253
cMono,HES6,6.579277084289428e-54,9.868915626434143e-54,-0.0005543126868944436
cMono,HES7,8.811905334796236e-136,4.490277120362675e-135,-0.0007972815377893239
cMono,HESX1,0.00017234264085353118,0.00018558636249647192,0.0002116981899204541
cMono,HEY1,1.4625391204650706e-59,2.293967839904713e-59,-0.0005138569692789696
cMono,HEY2,3.014347909829243e-51,4.397644553381019e-51,-0.00028807676728487275
cMono,HEYL,7.119221406320132e-83,1.396311380797595e-82,-0.0007102935367095976
cMono,HHEX,0.003048555159621674,0.003243467777219863,0.00016346530174287353
cMono,HIC1,6.535944796657168e-39,8.981653172180495e-39,-0.00019301939056978745
cMono,HIC2,2.3210522646612152e-08,2.6020217493307307e-08,0.00021169467810027136
cMono,HIF1A,1.3639849967646322e-110,4.174264429753831e-110,-0.0015014512284805617
cMono,HINFP,4.594669711474314e-143,2.7337001355978466e-142,-0.0012270897907865758
cMono,HKR1,0.0004453787123502482,0.0004776720328831967,0.0004131785182901679
cMono,HLF,8.447234515385945e-127,3.514181546439856e-126,0.010255746180221459
cMono,HLX,8.702001598804852e-52,1.2782940279623678e-51,-0.00010740295507168356
cMono,HMBOX1,1.9370409448315976e-57,2.9768378156502905e-57,-0.00018270527418030522
cMono,HMG20B,1.2908602365106962e-07,1.4350377368307845e-07,-1.5103966246878334e-05
cMono,HMGA2,1.2432222403713142e-120,4.5973322430397564e-120,-0.0005309310263192204
cMono,HMX1,3.435984835800672e-29,4.414142159382045e-29,-0.00010957059577619728
cMono,HMX2,3.409865343601488e-84,6.775198863685793e-84,-0.0002081292421065653
cMono,HMX3,7.386037693689089e-41,1.022903789828203e-40,2.2246027143664124e-05
cMono,HNF1A,2.0788131368337596e-27,2.62625858923838e-27,0.0008667302063132386
cMono,HNF1B,0.9155110158844659,0.9189625183006185,0.0003859649886726116
cMono,HNF4A,1.8506773449300923e-155,1.449243656140109e-154,0.0016611729368110305
cMono,HNF4G,1.2417588053963226e-157,1.0018735816265785e-156,0.0008904788030514189
cMono,HOMEZ,1.0248307549438729e-79,1.9283476219350257e-79,-0.0009810781634705576
cMono,HOXA1,7.386981602133383e-55,1.1143251283671462e-54,0.0009049321552482489
cMono,HOXA10,2.8957248510056298e-89,6.143320650041824e-89,-0.0009407070784580376
cMono,HOXA11,1.9907780501246572e-95,4.629210968084628e-95,-0.0011646896414371846
cMono,HOXA13,3.7189996435798887e-82,7.227617920460914e-82,-0.00038256083165160576
cMono,HOXA2,2.1560272830845107e-07,2.3868701210862826e-07,-7.34773725153022e-07
cMono,HOXA3,1.0709330489111647e-194,1.7280965107430158e-193,0.0008928677299133818
cMono,HOXA4,2.1754071101051298e-30,2.82193492358339e-30,0.0006267539092246685
cMono,HOXA5,1.5817001041383997e-122,6.037672440528301e-122,0.0013897352014247688
cMono,HOXA6,4.790168108062277e-15,5.6809900167999156e-15,0.00046419762670322356
cMono,HOXA7,1.5214126089483738e-130,6.695472845165364e-130,0.0017205892912756024
cMono,HOXA9,1.7646297243275838e-243,8.542412074585803e-242,0.0003818619457403964
